file,class,type,wmc,lcom,lcom*,loc
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\BreakpointEventType.java,SWIG.BreakpointEventType,class,11,15,0.83333325,44
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\FileFormats\ghidra_scripts\MachoProcessBindScript.java,MachoProcessBindScript,class,57,36,0,342
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\StopShowColumn.java,SWIG.StopShowColumn,class,11,15,0.8333334,35
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\StateType.java,SWIG.StateType,class,11,15,0.83333325,44
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\AssociateExternalPELibrariesScript.java,AssociateExternalPELibrariesScript,class,10,1,0,46
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\MakeFunctionsScript.java,MakeFunctionsScript,class,19,0,0,74
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Decompiler\ghidra_scripts\classrecovery\Typeinfo.java,classrecovery.Typeinfo,class,5,4,0.6,21
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SBTypeMemberFunction.java,SWIG.SBTypeMemberFunction,class,20,0,0.5294118,62
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SBBreakpointName.java,SWIG.SBBreakpointName,class,46,0,0.53488374,140
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SBSymbolContextList.java,SWIG.SBSymbolContextList,class,17,0,0.53571427,53
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\BytePatterns\ghidra_scripts\DumpFunctionPatternInfoScript.java,DumpFunctionPatternInfoScript,class,11,0,0,76
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SWIGTYPE_p_std__shared_ptrT_lldb_private__ThreadPlan_t.java,SWIG.SWIGTYPE_p_std__shared_ptrT_lldb_private__ThreadPlan_t,class,4,0,0,12
